"Attribute1","Attribute2","Attribute3","k","Accuracy","Sensitivity","Specificity"
"ScaleOverTime","isJL1","isSingle",5,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",6,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",7,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",8,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",9,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",10,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",11,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",12,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",13,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",14,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",15,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",16,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",17,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",18,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",19,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",20,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",21,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",22,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",23,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",24,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",25,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",26,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",27,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",28,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",29,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","isSingle",30,85.6321839080461,98.3561643835615,19.2857142857143
"ScaleOverTime","isJL1","ScaleMonthlyIncome",5,83.9080459770116,95.4794520547946,23.5714285714285
"ScaleOverTime","isJL1","ScaleMonthlyIncome",6,84.5091954022988,95.6493150684932,26.4214285714286
"ScaleOverTime","isJL1","ScaleMonthlyIncome",7,85.6873563218391,96.7780821917808,27.8571428571429
"ScaleOverTime","isJL1","ScaleMonthlyIncome",8,85.5183908045977,96.6602739726027,27.4214285714286
"ScaleOverTime","isJL1","ScaleMonthlyIncome",9,85.6321839080461,97.1232876712331,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",10,85.9724137931035,97.2616438356165,27.1071428571429
"ScaleOverTime","isJL1","ScaleMonthlyIncome",11,85.7471264367817,97.2602739726028,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",12,85.8666666666667,97.3383561643836,26.05
"ScaleOverTime","isJL1","ScaleMonthlyIncome",13,85.6321839080461,97.1232876712331,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",14,86.0505747126437,97.6219178082193,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",15,86.3839080459771,98.0191780821917,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",16,86.4356321839081,98.0808219178082,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",17,86.5517241379309,98.219178082192,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",18,86.4528735632184,98.1013698630137,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",19,86.3218390804599,97.9452054794521,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",20,86.3252873563219,97.9493150684932,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",21,86.206896551724,97.8082191780824,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",22,86.206896551724,97.8082191780824,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",23,86.206896551724,97.8082191780824,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",24,86.0977011494253,97.6780821917808,25.7142857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",25,86.1034482758621,97.5342465753427,26.5
"ScaleOverTime","isJL1","ScaleMonthlyIncome",26,85.9827586206897,97.3945205479452,26.4785714285715
"ScaleOverTime","isJL1","ScaleMonthlyIncome",27,86.0356321839081,97.2602739726028,27.5071428571429
"ScaleOverTime","isJL1","ScaleMonthlyIncome",28,86.028735632184,97.2602739726028,27.4642857142857
"ScaleOverTime","isJL1","ScaleMonthlyIncome",29,85.9885057471266,97.13698630137,27.8571428571429
"ScaleOverTime","isJL1","ScaleMonthlyIncome",30,85.8149425287357,97.1150684931507,26.8928571428572
"ScaleOverTime","isJL1","SO30",5,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",6,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",7,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",8,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",9,86.4367816091955,97.2602739726028,30
"ScaleOverTime","isJL1","SO30",10,86.4367816091955,97.2602739726028,30
